offChipTempValue,offChipTempStatus,offChipTempMessage,onboardBrightnessValue,onboardBrightnessStatus,onboardBrightnessMessage,onboardTemperatureValue,onboardTemperatureStatus,onboardHumidityValue,onboardHumidityStatus,onboardTemperatureMessage,onboardHumidityMessage,barometerTemperaturValue,barometerTemperaturStatus,barometerPressureValue,barometerPressureStatus,barometerTemperatureMessage,barometerPressureMessage,presenceValue,presenceStatus,presenceMessage,rilevationTime,imei,props
21.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T11:57:06.000693,000000001b982f0d,[]
22.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,34.0,OK,,,24.0,OK,101351.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:55:31.000554,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101351.0,OK,,,0,OK,No humans detected!,2020-01-12T11:54:40.000636,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101344.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:54:38.000205,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101360.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:54:33.000775,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101354.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:53:46.000824,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101350.0,OK,,,0,OK,No humans detected!,2020-01-12T11:51:50.000478,000000001b982f0d,[]
21.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,24.0,OK,101350.0,OK,,,0,OK,No humans detected!,2020-01-12T11:51:34.000378,000000001b982f0d,[]
21.0,OK,,65535.0,OK,,22.0,OK,35.0,OK,,,23.0,OK,101347.0,OK,,,0,OK,No humans detected!,2020-01-12T11:49:42.000404,000000001b982f0d,[]
21.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,24.0,OK,101348.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:49:28.000284,000000001b982f0d,[]
22.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,34.0,OK,,,24.0,OK,101352.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:49:11.000095,000000001b982f0d,[]
21.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,23.0,OK,101358.0,OK,,,0,OK,No humans detected!,2020-01-12T11:46:47.000063,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101360.0,OK,,,0,OK,No humans detected!,2020-01-12T11:46:28.000180,000000001b982f0d,[]
22.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T11:46:20.000548,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,23.0,OK,101348.0,OK,,,0,OK,No humans detected!,2020-01-12T11:46:18.000425,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,23.0,OK,101348.0,OK,,,0,OK,No humans detected!,2020-01-12T11:46:18.000425,000000001b982f0d,[]
21.0,OK,,65535.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101346.0,OK,,,0,OK,No humans detected!,2020-01-12T11:45:20.000629,000000001b982f0d,[]
22.0,OK,,255.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101360.0,OK,,,0,OK,No humans detected!,2020-01-12T11:44:15.000808,000000001b982f0d,[]
21.0,OK,,65535.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101343.0,OK,,,0,OK,No humans detected!,2020-01-12T11:44:09.000757,000000001b982f0d,[]
22.0,OK,,65535.0,OK,,22.0,OK,35.0,OK,,,23.0,OK,101354.0,OK,,,0,OK,No humans detected!,2020-01-12T11:44:01.000179,000000001b982f0d,[]
21.0,OK,,255.0,OK,,22.0,OK,35.0,OK,,,23.0,OK,101353.0,OK,,,0,OK,No humans detected!,2020-01-12T11:43:50.000550,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T11:43:49.000989,000000001b982f0d,[]
21.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,23.0,OK,101359.0,OK,,,0,OK,No humans detected!,2020-01-12T11:41:45.000392,000000001b982f0d,[]
21.0,OK,,255.0,OK,,22.0,OK,34.0,OK,,,23.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T11:40:14.000421,000000001b982f0d,[]
21.0,OK,,255.0,OK,,22.0,OK,34.0,OK,,,23.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T11:40:14.000421,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,23.0,OK,101356.0,OK,,,0,OK,No humans detected!,2020-01-12T11:38:00.000891,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,23.0,OK,101350.0,OK,,,0,OK,No humans detected!,2020-01-12T11:37:51.000523,000000001b982f0d,[]
20.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101360.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:37:18.000565,000000001b982f0d,[]
